path,exists,du_kb,du_human,doc_files,doc_bytes,index_files,index_size,index_match
/Users/steven/2T-Xx-paths-chunks,no,,,,,,,n/a
/Users/steven/agent_forge,no,,,,,,,n/a
/Users/steven/agent-transcripts,no,,,,,,,n/a
/Users/steven/AI_Chats,no,,,,,,,n/a
/Users/steven/ai_merge_auto,dir,76,76K,2,48123,,,no_index_entry
/Users/steven/aider-env,no,,,,,,,n/a
/Users/steven/Applications,no,,,,,,,n/a
/Users/steven/AutoTagger,dir,212920,207.9M,356,65248924,,,no_index_entry
/Users/steven/autotagger-lite,no,,,,,,,n/a
/Users/steven/AvaTarArTs,no,,,,,,,n/a
/Users/steven/backups,no,,,,,,,n/a
/Users/steven/book_of_memory,no,,,,,,,n/a
/Users/steven/claudemarketplaces.com,dir,3212,3.1M,21,153070,,,no_index_entry
/Users/steven/clean,dir,76572,74.8M,508,77384956,,,no_index_entry
/Users/steven/codex-upgrades,no,,,,,,,n/a
/Users/steven/Development,dir,211152,206.2M,294,3203187,,,no_index_entry
/Users/steven/DOC-sorted,no,,,,,,,n/a
/Users/steven/Documents,dir,3358380,3.2G,6507,2991597187,,,no_index_entry
/Users/steven/Downloads,dir,21508396,20.5G,27160,3899441862,,,no_index_entry
/Users/steven/Fancy-Advanced-Med-journals,no,,,,,,,n/a
/Users/steven/file-tracker,no,,,,,,,n/a
/Users/steven/Fixes,dir,40,40K,4,33834,,,no_index_entry
/Users/steven/fuzzy-finder,no,,,,,,,n/a
/Users/steven/git-ai,dir,0,0K,0,0,,,no_index_entry
/Users/steven/github,dir,2569896,2.5G,3319,198175053,,,no_index_entry
/Users/steven/grok,dir,32832,32.1M,79,31209563,,,no_index_entry
/Users/steven/ice-tracker,no,,,,,,,n/a
/Users/steven/iterm2,dir,4263732,4.1G,2671,491456345,,,no_index_entry
/Users/steven/iterm2_prompt-engineering-exploration,dir,20,20K,1,5206,,,no_index_entry
/Users/steven/iterm2-fix,dir,45464,44.4M,581,8271370,,,no_index_entry
/Users/steven/MarketMaster,no,,,,,,,n/a
/Users/steven/Master CodeSnip dev,no,,,,,,,n/a
/Users/steven/MasterxEo,no,,,,,,,n/a
/Users/steven/mcPHooker,no,,,,,,,n/a
/Users/steven/mcphooker-lite,no,,,,,,,n/a
/Users/steven/Miniforge_Mamba_Analysis,dir,44,44K,3,22022,,,no_index_entry
/Users/steven/my_crew,no,,,,,,,n/a
/Users/steven/my-simple,dir,56,56K,8,21759,,,no_index_entry
/Users/steven/nocTurneMeLoDieS,no,,,,,,,n/a
/Users/steven/nocTurneMeLoDieS_HTML_Archive,no,,,,,,,n/a
/Users/steven/p-market,no,,,,,,,n/a
/Users/steven/Pictures,dir,20425180,19.5G,8138,433819483,,,no_index_entry
/Users/steven/PYTHON_MARKETPLACE_MASTER,no,,,,,,,n/a
/Users/steven/python_syntax_fix_report,no,,,,,,,n/a
/Users/steven/python-marketplace-inventory,no,,,,,,,n/a
/Users/steven/pythons,dir,1014652,990.9M,4970,159809773,,,no_index_entry
/Users/steven/reports,no,,,,,,,n/a
/Users/steven/scripts,dir,23656,23.1M,478,16863228,,,no_index_entry
/Users/steven/simplegallery,no,,,,,,,n/a
/Users/steven/Sora,no,,,,,,,n/a
/Users/steven/sora_outputs,no,,,,,,,n/a
/Users/steven/sora_outputs_master,no,,,,,,,n/a
/Users/steven/sora_outputs_v3,no,,,,,,,n/a
/Users/steven/sora_outputs_v4,no,,,,,,,n/a
/Users/steven/sora-remover,no,,,,,,,n/a
/Users/steven/test,no,,,,,,,n/a
/Users/steven/tester,no,,,,,,,n/a
/Users/steven/tools,no,,,,,,,n/a
/Users/steven/upWork,no,,,,,,,n/a
/Users/steven/userscripts,dir,43212,42.2M,26,8404634,,,no_index_entry
/Users/steven/zombot-simple-gallery,dir,140,140K,15,70097,,,no_index_entry
/Users/steven/Zotero,dir,18524,18.1M,739,11349303,,,no_index_entry
