Filename,File Size,Creation Date,Width,Height,DPI_X,DPI_Y,Original Path
gptjunk.png,427.64 KB,04-14-26,586,620,299.9994,299.9994,/Users/steven/diGiTaLdiVe/gptjunk.png
22.png,547.82 KB,04-14-26,1019,458,299.9994,299.9994,/Users/steven/diGiTaLdiVe/22.png
22_0.png,242.58 KB,04-14-26,509,458,299.9994,299.9994,/Users/steven/diGiTaLdiVe/22_0.png
22_1.png,303.82 KB,04-14-26,509,458,299.9994,299.9994,/Users/steven/diGiTaLdiVe/22_1.png
1gptjunk.png,447.60 KB,04-14-26,900,617,299.9994,299.9994,/Users/steven/diGiTaLdiVe/1gptjunk.png
2_1.png,258.96 KB,04-14-26,512,487,,,/Users/steven/diGiTaLdiVe/2_1.png
2_0.png,210.01 KB,04-14-26,512,487,,,/Users/steven/diGiTaLdiVe/2_0.png
2.png,532.11 KB,04-14-26,1024,487,299.9994,299.9994,/Users/steven/diGiTaLdiVe/2.png
colors.png,12.67 KB,04-11-26,190,150,,,/Users/steven/diGiTaLdiVe/gumroad/gumroad/app/assets/images/colors.png
pdf_stamp.png,2.18 KB,04-11-26,125,125,72.009,72.009,/Users/steven/diGiTaLdiVe/gumroad/gumroad/app/assets/images/pdf_stamp.png
cover_placeholder_uploading@2x.png,13.18 KB,04-11-26,1340,754,,,/Users/steven/diGiTaLdiVe/gumroad/gumroad/app/assets/images/cover_placeholder_uploading@2x.png
chosen-sprite@2x.png,738.00 B,04-11-26,104,74,,,/Users/steven/diGiTaLdiVe/gumroad/gumroad/app/assets/images/chosen-sprite@2x.png
user-avatar.png,2.48 KB,04-11-26,184,184,288.0106,288.0106,/Users/steven/diGiTaLdiVe/gumroad/gumroad/app/assets/images/user-avatar.png
empty.png,15.58 KB,04-11-26,780,360,,,/Users/steven/diGiTaLdiVe/gumroad/gumroad/app/assets/images/empty.png
opengraph_image.png,26.91 KB,04-11-26,1200,627,,,/Users/steven/diGiTaLdiVe/gumroad/gumroad/app/assets/images/opengraph_image.png
select_dropdown_indicator_light.png,443.00 B,04-11-26,40,40,,,/Users/steven/diGiTaLdiVe/gumroad/gumroad/app/assets/images/select_dropdown_indicator_light.png
construction.gif,3.46 KB,04-11-26,266,266,,,/Users/steven/diGiTaLdiVe/gumroad/gumroad/app/assets/images/construction.gif
white-15.png,439.00 B,04-11-26,15,15,,,/Users/steven/diGiTaLdiVe/gumroad/gumroad/app/assets/images/white-15.png
background_placeholder.jpg,853.00 B,04-11-26,263,140,72,72,/Users/steven/diGiTaLdiVe/gumroad/gumroad/app/assets/images/background_placeholder.jpg
loading-spinner.png,1.37 KB,04-11-26,34,34,,,/Users/steven/diGiTaLdiVe/gumroad/gumroad/app/assets/images/loading-spinner.png
cover_placeholder.png,16.44 KB,04-11-26,670,400,,,/Users/steven/diGiTaLdiVe/gumroad/gumroad/app/assets/images/cover_placeholder.png
select_dropdown_indicator_dark.png,575.00 B,04-11-26,40,40,72.009,72.009,/Users/steven/diGiTaLdiVe/gumroad/gumroad/app/assets/images/select_dropdown_indicator_dark.png
kindle-button-gradient.png,207.00 B,04-11-26,2,21,72.009,72.009,/Users/steven/diGiTaLdiVe/gumroad/gumroad/app/assets/images/kindle-button-gradient.png
loading.gif,1.63 KB,04-11-26,16,16,,,/Users/steven/diGiTaLdiVe/gumroad/gumroad/app/assets/images/loading.gif
gumroad_app.png,13.70 KB,04-11-26,320,320,72.009,72.009,/Users/steven/diGiTaLdiVe/gumroad/gumroad/app/assets/images/gumroad_app.png
chosen-sprite.png,538.00 B,04-11-26,52,37,,,/Users/steven/diGiTaLdiVe/gumroad/gumroad/app/assets/images/chosen-sprite.png
overlay-loader.gif,1.77 KB,04-11-26,32,32,,,/Users/steven/diGiTaLdiVe/gumroad/gumroad/app/assets/images/overlay-loader.gif
