path,exists,du_kb,du_human,doc_files,doc_bytes,index_files,index_size,index_match
/Users/steven/2T-Xx-paths-chunks,dir,89200,87.1M,186,86621094,,,no_index_entry
/Users/steven/agent_forge,dir,620,620K,52,281473,,,no_index_entry
/Users/steven/agent-transcripts,dir,19240,18.8M,53,19569877,,,no_index_entry
/Users/steven/AI_Chats,dir,4223932,4.0G,8592,4307826354,,,no_index_entry
/Users/steven/ai_merge_auto,dir,104,104K,9,56328,,,no_index_entry
/Users/steven/aider-env,dir,683232,667.2M,0,0,,,no_index_entry
/Users/steven/Applications,dir,552,552K,0,0,,,no_index_entry
/Users/steven/AutoTagger,dir,210880,205.9M,337,63359913,,,no_index_entry
/Users/steven/autotagger-lite,dir,16,16K,2,14028,,,no_index_entry
/Users/steven/AvaTarArTs,dir,296,296K,9,287873,,,no_index_entry
/Users/steven/backups,dir,1889112,1.8G,2242,14546800,,,no_index_entry
/Users/steven/book_of_memory,dir,28,28K,2,20914,,,no_index_entry
/Users/steven/claudemarketplaces.com,dir,3228,3.2M,21,153070,,,no_index_entry
/Users/steven/clean,dir,14668,14.3M,486,14159429,,,no_index_entry
/Users/steven/codex-upgrades,dir,324,324K,2,317181,,,no_index_entry
/Users/steven/Development,dir,1747924,1.7G,602,5090716,,,no_index_entry
/Users/steven/DOC-sorted,dir,34136,33.3M,25,34902549,,,no_index_entry
/Users/steven/Documents,dir,4338324,4.1G,7824,3527428652,,,no_index_entry
/Users/steven/Downloads,dir,18676684,17.8G,30095,3453386012,,,no_index_entry
/Users/steven/Fancy-Advanced-Med-journals,dir,2476,2.4M,148,2169773,,,no_index_entry
/Users/steven/file-tracker,dir,20,20K,2,17901,,,no_index_entry
/Users/steven/Fixes,dir,40,40K,4,33834,,,no_index_entry
/Users/steven/fuzzy-finder,dir,8,8K,0,0,,,no_index_entry
/Users/steven/git-ai,dir,0,0K,0,0,,,no_index_entry
/Users/steven/github,dir,6288372,6.0G,4711,271149785,,,no_index_entry
/Users/steven/grok,dir,168132,164.2M,645,112891267,,,no_index_entry
/Users/steven/ice-tracker,dir,9624,9.4M,217,5530715,,,no_index_entry
/Users/steven/iterm2,dir,4232984,4.0G,2698,491728462,,,no_index_entry
/Users/steven/iterm2_prompt-engineering-exploration,dir,28,28K,1,5206,,,no_index_entry
/Users/steven/iterm2-fix,dir,45748,44.7M,592,8348824,,,no_index_entry
/Users/steven/MarketMaster,dir,815952,796.8M,4429,712877361,,,no_index_entry
/Users/steven/Master CodeSnip dev,dir,44,44K,10,9197,,,no_index_entry
/Users/steven/MasterxEo,dir,3170284,3.0G,17994,1825259135,,,no_index_entry
/Users/steven/mcPHooker,dir,436,436K,53,252510,,,no_index_entry
/Users/steven/mcphooker-lite,dir,16,16K,3,11133,,,no_index_entry
/Users/steven/Miniforge_Mamba_Analysis,dir,44,44K,3,22022,,,no_index_entry
/Users/steven/my_crew,dir,48,48K,7,8062,,,no_index_entry
/Users/steven/my-simple,dir,56,56K,8,21759,,,no_index_entry
/Users/steven/nocTurneMeLoDieS,dir,46988,45.9M,1,2696,,,no_index_entry
/Users/steven/nocTurneMeLoDieS_HTML_Archive,dir,1900036,1.8G,430,1944430279,,,no_index_entry
/Users/steven/p-market,dir,2066788,2.0G,15293,2024620125,,,no_index_entry
/Users/steven/Pictures,dir,20326912,19.4G,8131,433941330,,,no_index_entry
/Users/steven/PYTHON_MARKETPLACE_MASTER,dir,1423552,1.4G,4938,464790138,,,no_index_entry
/Users/steven/python_syntax_fix_report,dir,12,12K,5,363,,,no_index_entry
/Users/steven/python-marketplace-inventory,dir,110040,107.5M,100,112462114,,,no_index_entry
/Users/steven/pythons,dir,1340572,1.3G,5314,401822468,6593,757M,path_in_master_index
/Users/steven/reports,dir,6092,5.9M,15,5908078,,,no_index_entry
/Users/steven/scripts,dir,21108,20.6M,425,17330224,431,3.9M,path_in_master_index
/Users/steven/simplegallery,dir,6176,6.0M,41,203616,,,no_index_entry
/Users/steven/Sora,dir,28,28K,2,27028,,,no_index_entry
/Users/steven/sora_outputs,dir,19368,18.9M,4,9604,,,no_index_entry
/Users/steven/sora_outputs_master,dir,20872,20.4M,5,11514,,,no_index_entry
/Users/steven/sora_outputs_v3,dir,23160,22.6M,5,11130,,,no_index_entry
/Users/steven/sora_outputs_v4,dir,20980,20.5M,4,9664,,,no_index_entry
/Users/steven/sora-remover,dir,108,108K,1,567,,,no_index_entry
/Users/steven/test,dir,48,48K,7,8017,,,no_index_entry
/Users/steven/tester,dir,803088,784.3M,12,424246,,,no_index_entry
/Users/steven/tools,dir,28,28K,5,12611,,,no_index_entry
/Users/steven/upWork,dir,84812,82.8M,73,71137050,,,no_index_entry
/Users/steven/userscripts,dir,42476,41.5M,27,7646736,,,no_index_entry
/Users/steven/zombot-simple-gallery,dir,148,148K,15,70097,,,no_index_entry
/Users/steven/Zotero,dir,18536,18.1M,740,11357676,,,no_index_entry
