Filename,Duration,File Size,Creation Date,Original Path
product-level-refund-policy-share.mp4,0:00,2.27 MB,04-11-26,/Users/steven/diGiTaLdiVe/gumroad/gumroad/app/assets/images/help_center/product-level-refund-policy-share.mp4
Big Buck Bunny - Trailer.mp4,0:00,1022.45 KB,04-11-26,/Users/steven/diGiTaLdiVe/gumroad/gumroad/spec/support/fixtures/Big Buck Bunny - Trailer.mp4
sample.mov,0:00,19.92 KB,04-11-26,/Users/steven/diGiTaLdiVe/gumroad/gumroad/spec/support/fixtures/sample.mov
invalid_asset_preview_video.MOV,Unknown,Unknown,04-11-26,/Users/steven/diGiTaLdiVe/gumroad/gumroad/spec/support/fixtures/invalid_asset_preview_video.MOV
test.mp4,Unknown,Unknown,04-11-26,/Users/steven/diGiTaLdiVe/gumroad/gumroad/spec/support/fixtures/test.mp4
video_with_multiple_audio_tracks.mov,0:01,61.01 KB,04-11-26,/Users/steven/diGiTaLdiVe/gumroad/gumroad/spec/support/fixtures/video_with_multiple_audio_tracks.mov
ScreenRecording.mov,0:00,1.42 MB,04-11-26,/Users/steven/diGiTaLdiVe/gumroad/gumroad/spec/support/fixtures/ScreenRecording.mov
thing.mov,0:00,155.37 KB,04-11-26,/Users/steven/diGiTaLdiVe/gumroad/gumroad/spec/support/fixtures/thing.mov
ScreenRecording.wmv,Unknown,Unknown,04-11-26,/Users/steven/diGiTaLdiVe/gumroad/gumroad/spec/support/fixtures/ScreenRecording.wmv
analytics-update.mp4,0:09,1.97 MB,04-11-26,/Users/steven/diGiTaLdiVe/gumroad/gumroad/public/analytics/analytics-update.mp4
analytics-update.webm,Unknown,Unknown,04-11-26,/Users/steven/diGiTaLdiVe/gumroad/gumroad/public/analytics/analytics-update.webm
"Epstein’s_Emails_Exposed_Secrets,_Lies_&_the_Digital_Ghost.mp4",0:00,131.17 MB,04-11-26,"/Users/steven/diGiTaLdiVe/Epstein/Epstein’s_Emails_Exposed_Secrets,_Lies_&_the_Digital_Ghost.mp4"
