filename,file_size,file_size_bytes,creation_date,original_path,full_path,file_extension,category,primary_type,mime_type,encoding,intelligent_category,confidence_score,description,key_concepts,content_hash,lines_of_code,complexity_score,predicted_business_value,integration_potential,integration_targets,estimated_effort,maturity_level,roi_potential,agent_affinity,skill_affinity,command_related,dependencies,dependents,agent_tier,last_modified,modification_count,moved_from,status,last_scan_date,documentation_score,test_coverage,code_standards,security_score,accessibility_score,related_files,tags,ownership,last_reviewed,review_status
uninstall-ollama-general-models.sh,251.00 B,251,05-15-26,/Users/steven/scripts,/Users/steven/scripts/uninstall-ollama-general-models.sh,.sh,shell,shell,application/octet-stream,utf-8,reference,0.4,Reference material: uninstall-ollama-general-models.sh,Removing,bc94afc3cef578c7,0,0.2,0.17,False,,low,alpha,0.15,system-architect,brainstorming,,,,Tier-1-Compatible,09-03-25 06:42,0,,stable,05-20-26,0.5,0.0,unknown,0.85,0.0,,experimental,system-architect,,pending
advanced-system-maintenance-v5-guided.sh,63.80 KB,65336,05-18-26,/Users/steven/scripts,/Users/steven/scripts/advanced-system-maintenance-v5-guided.sh,.sh,shell,shell,application/octet-stream,utf-8,skill,0.65,Skill module: advanced-system-maintenance-v5-guided.sh,"Advanced,System,Maintenance,Pro,Guided",a0ec3c04603f9213,0,0.2,0.46,False,,low,beta,0.42,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-1-Compatible,05-18-26 07:54,0,,stable,05-20-26,0.85,0.0,unknown,0.85,0.0,,experimental,studio-coach,,pending
demo-progress-bar.sh,992.00 B,992,05-15-26,/Users/steven/scripts,/Users/steven/scripts/demo-progress-bar.sh,.sh,shell,shell,application/octet-stream,utf-8,reference,0.4,Reference material: demo-progress-bar.sh,"Exit,Function,Set,Red,Green",b01a3d7c613a1f2c,0,0.2,0.17,False,,low,alpha,0.15,system-architect,brainstorming,,,,Tier-1-Compatible,02-12-26 12:40,0,,stable,05-20-26,0.5,0.0,unknown,0.85,0.0,,experimental,system-architect,,pending
start-mobile.sh,149.00 B,149,05-15-26,/Users/steven/scripts,/Users/steven/scripts/start-mobile.sh,.sh,shell,shell,application/octet-stream,utf-8,reference,0.4,Reference material: start-mobile.sh,,335c5c34345d7e75,0,0.2,0.17,False,,low,alpha,0.15,system-architect,brainstorming,,,,Tier-1-Compatible,04-22-26 14:54,0,,stable,05-20-26,0.5,0.0,unknown,0.85,0.0,,experimental,system-architect,,pending
SAVED_WORK_SUMMARY.md,3.38 KB,3461,05-15-26,/Users/steven/scripts,/Users/steven/scripts/SAVED_WORK_SUMMARY.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.65,Skill module: SAVED_WORK_SUMMARY.md,"Scripts,Organization,Saved,Work,Summary",d4a7b517935135ed,137,0.0,0.39,False,,low,beta,0.35,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-1-Compatible,11-26-25 01:34,0,,stable,05-20-26,0.5,0.0,unknown,0.85,0.85,,experimental,studio-coach,,pending
bulk-download.sh,1.56 KB,1600,05-15-26,/Users/steven/scripts,/Users/steven/scripts/bulk-download.sh,.sh,shell,shell,application/octet-stream,utf-8,reference,0.4,Reference material: bulk-download.sh,"Exit,This,Make,Remove,When",6a09f611299bcc7b,0,0.2,0.17,False,,low,alpha,0.15,system-architect,brainstorming,,,,Tier-1-Compatible,02-12-26 12:40,0,,stable,05-20-26,0.5,0.0,unknown,0.85,0.0,,experimental,system-architect,,pending
grok-interactive.sh,597.00 B,597,05-15-26,/Users/steven/scripts,/Users/steven/scripts/grok-interactive.sh,.sh,shell,shell,application/octet-stream,utf-8,reference,0.4,Reference material: grok-interactive.sh,"Exit,Interactive,Grok,Load,Set",d966283f93fda73d,0,0.2,0.17,False,,low,alpha,0.15,system-architect,brainstorming,,,,Tier-1-Compatible,02-12-26 12:40,0,,stable,05-20-26,0.5,0.0,unknown,0.85,0.0,,experimental,system-architect,,pending
MAINTENANCE_SCRIPTS_EXAMPLES_AND_BEST_PRACTICES.md,9.31 KB,9529,05-15-26,/Users/steven/scripts,/Users/steven/scripts/MAINTENANCE_SCRIPTS_EXAMPLES_AND_BEST_PRACTICES.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.65,Skill module: MAINTENANCE_SCRIPTS_EXAMPLES_AND_BEST_PRACTICES.md,"Maintenance,Scripts,Examples,Best,Practices",87dd57f6f4a67931,326,0.0,0.51,False,,medium,beta,0.46,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-1-Compatible,01-24-26 23:48,0,,stable,05-20-26,0.5,0.0,unknown,0.85,0.85,,experimental,studio-coach,,pending
run-analyze-folder-contents-shortcut.sh,148.00 B,148,05-15-26,/Users/steven/scripts,/Users/steven/scripts/run-analyze-folder-contents-shortcut.sh,.sh,shell,shell,application/octet-stream,utf-8,reference,0.4,Reference material: run-analyze-folder-contents-shortcut.sh,,45f26449fd9ce449,0,0.2,0.17,False,,low,alpha,0.15,system-architect,brainstorming,,,,Tier-1-Compatible,04-22-26 15:05,0,,stable,05-20-26,0.5,0.0,unknown,0.85,0.0,,experimental,system-architect,,pending
zshrc_config_answers.md,10.82 KB,11082,05-15-26,/Users/steven/scripts,/Users/steven/scripts/zshrc_config_answers.md,.md,markdown,markdown,text/markdown,utf-8,documentation,0.6,Documentation: zshrc_config_answers.md,"Python,System,Configuration,Answers,Generated",423113c5847900d3,344,0.0,0.38,False,,medium,alpha,0.34,system-architect,"writing-plans,brainstorming",,,,Tier-1-Compatible,11-27-25 00:03,0,,stable,05-20-26,0.5,0.0,unknown,0.85,0.85,,experimental,system-architect,,pending
