priority,reason,current_name,suggested_name
high,duplicate-or-timestamp-pattern,move_20230120024314.sh,move-20230120024314.sh
medium,uppercase-in-name,CONVERT_TO_STATIC_HTML.sh,convert-to-static-html.sh
medium,uppercase-in-name,EXECUTE_COMPLETE_ECOSYSTEM_SCAN.sh,execute-complete-ecosystem-scan.sh
low,underscore-style,add_error_handling.sh,add-error-handling.sh
low,underscore-style,advanced_png_optimize.sh,advanced-png-optimize.sh
low,underscore-style,ai_tools_menu_simple.sh,ai-tools-menu-simple.sh
low,underscore-style,ai_unified_menu.sh,ai-unified-menu.sh
low,underscore-style,analysis_launcher.sh,analysis-launcher.sh
low,underscore-style,analyze_and_integrate_clean.sh,analyze-and-integrate-clean.sh
low,underscore-style,analyze_drive_content.sh,analyze-drive-content.sh
low,underscore-style,analyze_folder_contents.sh,analyze-folder-contents.sh
low,underscore-style,analyze_inventory.sh,analyze-inventory.sh
low,underscore-style,analyze_local_dirs.sh,analyze-local-dirs.sh
low,underscore-style,archive_etsy.sh,archive-etsy.sh
low,underscore-style,audio_metadata_csv.sh,audio-metadata-csv.sh
low,underscore-style,audio_metadata_with_lufs.sh,audio-metadata-with-lufs.sh
low,underscore-style,audit_python_project.sh,audit-python-project.sh
low,underscore-style,autotagger_launcher.sh,autotagger-launcher.sh
low,underscore-style,avatararts_content_aware_consolidation_script.sh,avatararts-content-aware-consolidation-script.sh
low,underscore-style,batch_drive_analysis.sh,batch-drive-analysis.sh
low,underscore-style,bulk_download.sh,bulk-download.sh
low,underscore-style,check_all_package_conflicts.sh,check-all-package-conflicts.sh
low,underscore-style,check_env_keys.sh,check-env-keys.sh
low,underscore-style,check_grok_setup.sh,check-grok-setup.sh
low,underscore-style,check_quicklook_conflicts.sh,check-quicklook-conflicts.sh
low,underscore-style,clean_directory_names.sh,clean-directory-names.sh
low,underscore-style,clean_global_pip.sh,clean-global-pip.sh
low,underscore-style,clipboard_fuzzy_search.sh,clipboard-fuzzy-search.sh
low,underscore-style,compare_files.sh,compare-files.sh
low,underscore-style,comprehensive_home_inventory.sh,comprehensive-home-inventory.sh
low,underscore-style,compress_videos.sh,compress-videos.sh
low,underscore-style,configure_python_default.sh,configure-python-default.sh
low,underscore-style,consolidate_business_ecosystem.sh,consolidate-business-ecosystem.sh
low,underscore-style,consolidate_into_masterxeo.sh,consolidate-into-masterxeo.sh
low,underscore-style,consolidate_marketmaster.sh,consolidate-marketmaster.sh
low,underscore-style,consolidate_remaining_gumroad.sh,consolidate-remaining-gumroad.sh
low,underscore-style,consolidation_ai_setup.sh,consolidation-ai-setup.sh
low,underscore-style,consolidation_preview.sh,consolidation-preview.sh
low,underscore-style,consolidation_setup.sh,consolidation-setup.sh
low,underscore-style,content_aware_rename.sh,content-aware-rename.sh
low,underscore-style,content_quality_analyzer.sh,content-quality-analyzer.sh
low,underscore-style,conversation_fuzzy_finder.sh,conversation-fuzzy-finder.sh
low,underscore-style,convert_to_mp3.sh,convert-to-mp3.sh
low,underscore-style,convert_to_webp.sh,convert-to-webp.sh
low,underscore-style,create_cleanup_csv.sh,create-cleanup-csv.sh
low,underscore-style,create_comprehensive_index.sh,create-comprehensive-index.sh
low,underscore-style,create_marketplace_structures.sh,create-marketplace-structures.sh
low,underscore-style,create_structure.sh,create-structure.sh
low,underscore-style,create_venv.sh,create-venv.sh
low,underscore-style,debug_moving_files.sh,debug-moving-files.sh
low,underscore-style,deepindex_examples.sh,deepindex-examples.sh
low,underscore-style,deploy_quantumforgelabs.sh,deploy-quantumforgelabs.sh
low,underscore-style,disk_cleanup_analysis.sh,disk-cleanup-analysis.sh
low,underscore-style,download_new_files.sh,download-new-files.sh
low,underscore-style,efficient_git_cleanup.sh,efficient-git-cleanup.sh
low,underscore-style,elasticsearch_setup.sh,elasticsearch-setup.sh
low,underscore-style,enhanced_cleanup.sh,enhanced-cleanup.sh
low,underscore-style,enhanced_encrypt_sensitive_env_files.sh,enhanced-encrypt-sensitive-env-files.sh
low,underscore-style,execute_special_cases.sh,execute-special-cases.sh
low,underscore-style,final_cleanup.sh,final-cleanup.sh
low,underscore-style,final_comprehensive_analysis.sh,final-comprehensive-analysis.sh
low,underscore-style,final_masterxeo_mapping.sh,final-masterxeo-mapping.sh
low,underscore-style,final_masterxeo_organization.sh,final-masterxeo-organization.sh
low,underscore-style,finish_business_integration.sh,finish-business-integration.sh
low,underscore-style,fix_quicklook_conflicts.sh,fix-quicklook-conflicts.sh
low,underscore-style,fix_ts_content_type.sh,fix-ts-content-type.sh
low,underscore-style,fix_ts_quicklook.sh,fix-ts-quicklook.sh
low,underscore-style,fix_ts_quicklook_final.sh,fix-ts-quicklook-final.sh
low,underscore-style,fix_zip_preview.sh,fix-zip-preview.sh
low,underscore-style,format_lost_files.sh,format-lost-files.sh
low,underscore-style,format_lost_files_corrected.sh,format-lost-files-corrected.sh
low,underscore-style,gallery_batch_process.sh,gallery-batch-process.sh
low,underscore-style,generate_csv.sh,generate-csv.sh
low,underscore-style,grok_integration.sh,grok-integration.sh
low,underscore-style,implement_intuitive_organization.sh,implement-intuitive-organization.sh
low,underscore-style,improve_logging.sh,improve-logging.sh
low,underscore-style,index_hidden_recent_files.sh,index-hidden-recent-files.sh
low,underscore-style,init_spend_analysis.sh,init-spend-analysis.sh
low,underscore-style,install_dependencies.sh,install-dependencies.sh
low,underscore-style,install_embeddings.sh,install-embeddings.sh
low,underscore-style,install_general.sh,install-general.sh
low,underscore-style,install_miniforge_default.sh,install-miniforge-default.sh
low,underscore-style,install_reasoning.sh,install-reasoning.sh
low,underscore-style,install_safety.sh,install-safety.sh
low,underscore-style,install_vision.sh,install-vision.sh
low,underscore-style,integrate_systems.sh,integrate-systems.sh
low,underscore-style,intuitive_organization_demo.sh,intuitive-organization-demo.sh
low,underscore-style,iterm2_full_tree.sh,iterm2-full-tree.sh
low,underscore-style,iterm2_tree_summary.sh,iterm2-tree-summary.sh
low,underscore-style,library_cleanup.sh,library-cleanup.sh
low,underscore-style,list_packages.sh,list-packages.sh
low,underscore-style,mac_analyze_report.sh,mac-analyze-report.sh
low,underscore-style,mac_diag.sh,mac-diag.sh
low,underscore-style,make_cvs_snapshot.sh,make-cvs-snapshot.sh
low,underscore-style,marketmaster_complete_guide.sh,marketmaster-complete-guide.sh
low,underscore-style,marketmaster_final_guide.sh,marketmaster-final-guide.sh
low,underscore-style,marketmaster_nav.sh,marketmaster-nav.sh
low,underscore-style,master_optimize.sh,master-optimize.sh
low,underscore-style,master_script_manager.sh,master-script-manager.sh
low,underscore-style,masterxeo_consolidation.sh,masterxeo-consolidation.sh
low,underscore-style,mcp_diagnostic.sh,mcp-diagnostic.sh
low,underscore-style,mcp_token_helper.sh,mcp-token-helper.sh
low,underscore-style,merge_and_organize_drives.sh,merge-and-organize-drives.sh
low,underscore-style,merge_diff.sh,merge-diff.sh
low,underscore-style,merge_similar_markdown.sh,merge-similar-markdown.sh
low,underscore-style,migrate_to_mamba.sh,migrate-to-mamba.sh
low,underscore-style,migration_script.sh,migration-script.sh
low,underscore-style,ml_models_setup.sh,ml-models-setup.sh
low,underscore-style,model_picker.sh,model-picker.sh
low,underscore-style,move_claude_dirs.sh,move-claude-dirs.sh
low,underscore-style,move_marketplace_docs.sh,move-marketplace-docs.sh
low,underscore-style,mp3_batch.sh,mp3-batch.sh
low,underscore-style,noi_data_checker.sh,noi-data-checker.sh
low,underscore-style,noi_data_checker_with_links.sh,noi-data-checker-with-links.sh
low,underscore-style,ollama_menu.sh,ollama-menu.sh
low,underscore-style,open_clipboard_navigation.sh,open-clipboard-navigation.sh
low,underscore-style,organize_documents.sh,organize-documents.sh
low,underscore-style,preview_comprehensive_inventory.sh,preview-comprehensive-inventory.sh
low,underscore-style,preview_intuitive_organization.sh,preview-intuitive-organization.sh
low,underscore-style,process_music_legacy_copy.sh,process-music-legacy-copy.sh
low,underscore-style,professional_format_automation.sh,professional-format-automation.sh
low,underscore-style,purge_launchctl_overrides_delta.sh,purge-launchctl-overrides-delta.sh
low,underscore-style,quick_hidden_recent_scan.sh,quick-hidden-recent-scan.sh
low,underscore-style,regenerate_carbon.sh,regenerate-carbon.sh
low,underscore-style,remove_phase1_safe.sh,remove-phase1-safe.sh
low,underscore-style,remove_phase2_review.sh,remove-phase2-review.sh
low,underscore-style,resolve_lost_files.sh,resolve-lost-files.sh
low,underscore-style,resolve_lost_files_complete.sh,resolve-lost-files-complete.sh
